País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Suazilândia,,,,,,,,,,,,,,10.0,,
Suécia,26.984,28.334,,1.641,2.705,3.195,10.404,1.412,291.0,15.445,8.062,28.0,6.0,23.0,5.0,
Suíça,54.384,27.653,2.025,,4.014,2.997,27.933,15.872,4.23,6.525,,2.223,2.827,627.0,1.584,2.5
Suriname,900.0,3.83,1.836,3.774,396.0,1.8,6.0,453.0,900.0,3.69,,3.206,4.185,900.0,1.225,3.105
Tailândia,,,,,,,,,,,8.0,128.0,534.0,1.334,432.0,189.0
Taiwan (Formosa),10.03,,,4.5,,,12.519,7.2,16.967,14.988,7.589,12.0,963.0,1.313,25.0,4.208
Tanzânia,,,,,,,,,,,,,,,,
"Tcheca, República",17.135,9.269,1.091,6.846,7.96,3.697,4.5,2.297,3.837,2.746,2.712,2.115,563.0,456.0,1.305,405.0
Togo,5.16,,,,,,,,,,,,,1.89,17.317,14.55
Toquelau,,,,,,,,,,,,,,,,3.0
Trinidade Tobago,,,,,531.0,,360.0,,,,,,,,,
Tunísia,,,,,,,,,,,,,,,,
Turquia,,,,,,,,,,,360.0,115.0,,343.0,418.0,28.104
Tuvalu,,,,,,,,,,,,,2.0,,,
Uruguai,,,914.0,1.238,1.135,1.526,,,,,7.711,6.18,,136.774,637.117,326.093
Vanuatu,,,,,,,,,,,,,18.0,,,
Venezuela,,,,,1.029,,14.0,,,680.0,71.0,,4.086,26.415,23.22,141.03
Vietnã,,743.0,8.82,,,,,,,,,20.0,86.0,,130.0,72.0
,,,,,,,,,,,,,,,,
